,authors,title,venue,type,year,access,key,ee
1,"Dirk Kraft,Nicolas Pugeault,Emre Baseski,Mila Popovic,Danica Kragic,Sinan Kalkan,Florentin Wörgötter,Norbert Krüger",Erratum: &quot;Birth of the Object: Detection of Objectness and Extraction of Object Shape through Object-Action complexes&quot;.,Int. J. Humanoid Robotics,Journal Articles,2009,closed,journals/ijhr/KraftPBPKKWK09,https://doi.org/10.1142/S0219843609001772
2,"Dirk Kraft,Nicolas Pugeault,Emre Baseski,Mila Popovic,Danica Kragic,Sinan Kalkan,Florentin Wörgötter,Norbert Krüger",Birth of the Object: Detection of Objectness and Extraction of Object Shape through Object-Action complexes.,Int. J. Humanoid Robotics,Journal Articles,2008,closed,journals/ijhr/KraftPBPKKWK08,https://doi.org/10.1142/S021984360800139X
3,"Yubo Liang,Gongming Wang,Wenfa Li,Yuzhe He,Xiaoming Liang",A new object detection method for object deviating from center or multi object crowding.,Displays,Journal Articles,2021,closed,journals/displays/LiangWLHL21,https://doi.org/10.1016/j.displa.2021.102042
4,"Jun Zhang,Feiteng Han,Yutong Chun,Kangwei Liu,Wang Chen",Detecting Objects from No-Object Regions: A Context-Based Data Augmentation for Object Detection.,Int. J. Comput. Intell. Syst.,Journal Articles,2021,open,journals/ijcisys/ZhangHCLC21,https://doi.org/10.2991/ijcis.d.210622.003
5,"S. N. Shivappriya,M. Jasmine Pemeena Priyadarsini,Andrzej Stateczny,C. Puttamadappa,Parameshachari Bidare Divakarachari",Cascade Object Detection and Remote Sensing Object Detection Method Based on Trainable Activation Function.,Remote. Sens.,Journal Articles,2021,open,journals/remotesensing/ShivappriyaPSPP21,https://doi.org/10.3390/rs13020200
6,"Yuxin Mao,Jing Zhang 0052,Zhexiong Wan,Yuchao Dai,Aixuan Li,Yunqiu Lv,Xinyu Tian,Deng-Ping Fan,Nick Barnes",Transformer Transforms Salient Object Detection and Camouflaged Object Detection.,CoRR,Informal Publications,2021,open,journals/corr/abs-2104-10127,https://arxiv.org/abs/2104.10127
7,"Solomon Negussie Tesema,El-Bay Bourennane",Towards General Purpose Object Detection: Deep Dense Grid Based Object Detection.,IIT,Conference and Workshop Papers,2020,closed,conf/iit/TesemaB20,https://doi.org/10.1109/IIT50501.2020.9299036
8,"Vincent P. Martin,Jean-Luc Rouas,Pierre Philip",Détection de la somnolence objective dans la voix (Objective sleepiness detection through voice ).,JEP-TALN-RECITAL,Conference and Workshop Papers,2020,open,conf/taln/MartinRP20,https://aclanthology.org/2020.jeptalnrecital-jep.46/
9,"Dhiraj,Deepak Kumar Jain",An evaluation of deep learning based object detection strategies for threat object detection in baggage security imagery.,Pattern Recognit. Lett.,Journal Articles,2019,closed,journals/prl/DhirajJ19,https://doi.org/10.1016/j.patrec.2019.01.014
10,"Jung Uk Kim,Yong Man Ro",Attentive Layer Separation for Object Classification and Object Localization in Object Detection.,ICIP,Conference and Workshop Papers,2019,closed,conf/icip/KimR19,https://doi.org/10.1109/ICIP.2019.8803439
